name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Julio Soler Barreto,DEF,Bournemouth,0.2,0,0,0,0,0,0.0,0,80,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,10,0,0,0,0,0,7,0,29414,0,0,1,3,0.0,0,-841,778,1619,40,True,0
Enso González Medina,MID,Wolves,0.0,0,0,0,0,0,0.0,0,652,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,198447,0,0,,,0.0,0,-5553,7995,13548,44,True,0
Zak Johnson,DEF,Sunderland,-0.5,0,0,0,0,0,0.0,0,538,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,31903,0,0,,,0.0,0,1777,3606,1829,39,False,0
Daniel Bentley,GK,Wolves,0.0,0,0,0,0,0,0.0,0,629,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,78857,0,0,,,0.0,0,-2038,671,2709,40,True,0
Remy Rees-Dottin,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,687,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,10,0,0,0,0,0,7,0,15188,0,0,1,3,0.0,0,613,1270,657,44,True,0
Viktor Gyökeres,FWD,Arsenal,3.0,0,0,0,0,0,0.0,0,666,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,3392158,0,0,,,0.0,0,268069,491582,223513,90,True,0
Antoñito Cordero Campillo,MID,Newcastle,0.0,0,0,0,0,0,0.0,0,492,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,3394,0,0,,,0.0,0,-318,0,318,49,True,0
Jesurun Rak-Sakyi,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,278,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,6488,0,0,,,0.0,0,-933,0,933,44,False,0
Bruno Guimarães Rodriguez Moura,MID,Newcastle,1.5,0,0,0,0,0,0.0,0,488,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,243837,0,0,,,0.0,0,-9189,8386,17575,65,True,0
Oscar Bobb,MID,Man City,1.0,0,0,0,0,0,0.0,0,424,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,40894,0,0,,,0.0,0,-5456,1197,6653,55,False,0
Kieran Trippier,DEF,Newcastle,2.5,0,0,0,0,0,0.0,0,478,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,309765,0,0,,,0.0,0,4572,21590,17018,50,True,0
Benjamin Arthur,DEF,Brentford,-0.5,0,0,0,0,0,0.0,0,114,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,30110,0,0,,,0.0,0,-1178,550,1728,40,True,0
David Mota Veiga Teixeira do Carmo,DEF,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,509,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,3316,0,0,,,0.0,0,-184,0,184,45,False,0
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0,0.0,0,395,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,7,0,0,0,0,0,7,0,319,0,0,,,0.0,0,-10,0,10,45,False,0
Mateo Joseph Fernández-Regatillo,FWD,Leeds,0.0,0,0,0,0,0,0.0,0,364,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,1447,0,0,,,0.0,0,-50,0,50,50,True,0
Ryan Christie,MID,Bournemouth,1.5,0,0,3,0,0,1.6,2,87,0.00,0.00,0.00,0.23,63,0,0,0.6,4.2,2025-10-03T19:00:00Z,12,False,10,0,0,0,1,0,7,0,8534,0,1,1,3,0.0,1,242,733,491,50,True,0
Chris Richards,DEF,Crystal Palace,3.5,0,0,0,0,0,0.0,0,261,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,368777,0,0,,,0.0,0,49000,67598,18598,45,False,0
Will Hughes,MID,Crystal Palace,1.1,0,0,0,0,0,0.0,0,270,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,13831,0,0,,,0.0,0,-521,853,1374,49,False,0
Jack Grealish,MID,Everton,1.2,0,0,0,0,0,0.0,0,419,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,2669788,0,0,,,0.0,0,-140194,105886,246080,69,True,0
Simon Adingra,MID,Sunderland,0.5,0,0,0,0,0,0.0,0,543,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,88564,0,0,,,0.0,0,-11843,1812,13655,53,False,0
Luca Koleosho,MID,Burnley,0.0,0,0,0,0,0,0.0,0,208,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,1628,0,0,,,0.0,0,-71,0,71,50,False,0
Nick Pope,GK,Newcastle,4.5,0,0,0,0,0,0.0,0,469,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,1062484,0,0,,,0.0,0,214146,243259,29113,51,True,0
Chadi Riad Dnanou,DEF,Crystal Palace,0.0,0,0,0,0,0,0.0,0,262,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,758,0,0,,,0.0,0,-87,15,102,40,False,0
Abdukodir Khusanov,DEF,Man City,0.0,0,0,0,0,0,0.0,0,406,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,40040,0,0,,,0.0,0,-7039,117,7156,54,False,0
Hamed Traorè,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,93,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,10,0,0,0,0,0,7,0,64080,0,0,1,3,0.0,0,-7858,0,7858,45,True,0
David Møller Wolfe,DEF,Wolves,0.0,0,0,0,0,0,0.0,0,682,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,8172,0,0,,,0.0,0,-546,73,619,44,True,0
Darko Gyabi,MID,Leeds,0.0,0,0,0,0,0,0.0,0,361,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,4662,0,0,,,0.0,0,-394,0,394,45,True,0
Oliver Sonne,DEF,Burnley,-0.5,0,0,0,0,0,0.0,0,197,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,16494,0,0,,,0.0,0,-531,254,785,40,False,0
Noah Okafor,MID,Leeds,2.5,0,0,0,0,0,0.0,0,698,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,10364,0,0,,,0.0,0,1381,3140,1759,55,True,0
Mathys Tel,MID,Spurs,1.5,0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,12362,0,0,,,0.0,0,-263,802,1065,63,False,0
Facundo Buonanotte,MID,Chelsea,-0.3,0,0,0,0,0,0.0,0,168,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,12964,0,0,,,0.0,0,-395,829,1224,48,True,0
Malo Gusto,DEF,Chelsea,-0.3,0,0,0,0,0,0.0,0,228,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,145190,0,0,,,0.0,0,-12998,2308,15306,49,True,0
John Victor Maciel Furtado,GK,Nott'm Forest,-0.5,0,0,0,0,0,0.0,0,715,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,44495,0,0,,,0.0,0,-1262,1607,2869,40,False,0
Harry Gray,FWD,Leeds,-0.2,0,0,0,0,0,0.0,0,741,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,8035,0,0,,,0.0,0,601,2768,2167,45,True,0
Steven Benda,GK,Fulham,0.0,0,0,0,0,0,0.0,0,315,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,638,0,0,1,3,0.0,0,-23,0,23,40,False,0
Bruno Borges Fernandes,MID,Man Utd,3.3,0,0,0,0,0,0.0,0,449,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,2399723,0,0,,,0.0,0,-165385,101549,266934,90,True,0
James Justin,DEF,Leeds,-0.3,0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,28450,0,0,,,0.0,0,-824,980,1804,40,True,0
Mads Roerslev Rasmussen,DEF,Brentford,0.0,0,0,0,0,0,0.0,0,112,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,2280,0,0,,,0.0,0,-114,0,114,45,True,0
Mitoma Kaoru,MID,Brighton,2.1,0,0,0,0,0,0.0,0,157,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,482118,0,0,,,0.0,0,-53579,15742,69321,64,False,0
João Pedro Junqueira de Jesus,FWD,Chelsea,2.3,0,0,0,0,0,0.0,0,249,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,7517589,0,0,,,0.0,0,-628021,103592,731613,77,True,0
Nicolò Savona,DEF,Nott'm Forest,-0.5,0,0,0,0,0,0.0,0,716,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,1359,0,0,,,0.0,0,-69,86,155,45,False,0
Maxence Lacroix,DEF,Crystal Palace,3.0,0,0,0,0,0,0.0,0,257,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,507311,0,0,,,0.0,0,31362,59960,28598,51,False,0
Tijjani Reijnders,MID,Man City,4.0,0,0,0,0,0,0.0,0,427,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,4061814,0,0,,,0.0,0,-79758,146472,226230,58,False,0
Maximilian Kilman,DEF,West Ham,1.0,0,0,0,0,0,0.0,0,605,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,1,0,0,0,0,0,7,0,21820,0,0,,,0.0,0,-57,1788,1845,44,False,0
Eddie Nketiah,FWD,Crystal Palace,1.2,0,0,0,0,0,0.0,0,284,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,44999,0,0,,,0.0,0,17964,20870,2906,54,False,0
Emile Smith Rowe,MID,Fulham,1.0,0,0,3,0,0,2.3,0,325,0.01,0.01,0.00,0.52,63,1,0,0.3,0.6,2025-10-03T19:00:00Z,4,False,4,0,0,0,0,0,7,0,68553,0,0,1,3,0.0,1,-5794,1666,7460,58,False,0
Joe White,MID,Newcastle,0.0,0,0,0,0,0,0.0,0,498,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,793,0,0,,,0.0,0,-34,0,34,45,True,0
Aaron Ramsdale,GK,Newcastle,0.5,0,0,0,0,0,0.0,0,674,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,77669,0,0,,,0.0,0,-2869,1104,3973,49,True,0
Dermot Mee,GK,Man Utd,0.5,0,0,0,0,0,0.0,0,435,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,12500,0,0,,,0.0,0,-296,149,445,40,True,0
Boubacar Kamara,MID,Aston Villa,2.3,0,0,0,0,0,0.0,0,58,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,17166,0,0,,,0.0,0,893,2088,1195,49,True,0
Omar Marmoush,MID,Man City,0.0,0,0,0,0,0,0.0,0,413,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,332551,0,0,,,0.0,0,-29343,268,29611,83,False,0
Michael Keane,DEF,Everton,4.5,0,0,0,0,0,0.0,0,295,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,117185,0,0,,,0.0,0,17451,24464,7013,45,True,0
Elijah Campbell,DEF,Everton,0.0,0,0,0,0,0,0.0,0,705,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,19536,0,0,,,0.0,0,-509,472,981,40,True,0
Matt Turner,GK,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,504,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,14208,0,0,,,0.0,0,-716,0,716,40,False,0
Richarlison de Andrade,FWD,Spurs,3.5,0,0,0,0,0,0.0,0,597,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,2044901,0,0,,,0.0,0,-67908,149273,217181,68,False,0
Tanaka Ao,MID,Leeds,0.0,0,0,0,0,0,0.0,0,358,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,15103,0,0,,,0.0,0,-915,290,1205,49,True,0
Trevoh Chalobah,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,226,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,897459,0,0,,,0.0,0,-404996,9421,414417,52,True,0
Jorge Cuenca Barreno,DEF,Fulham,0.2,0,0,0,0,0,0.0,0,321,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,4449,0,0,1,3,0.0,0,-160,52,212,44,False,0
Ashley Phillips,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,576,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,1785,0,0,,,0.0,0,-71,0,71,40,False,0
Asher Agbinone,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,274,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,6253,0,0,,,0.0,0,7,394,387,45,False,0
Joachim Andersen,DEF,Fulham,5.0,0,0,4,0,12,0.9,13,317,0.00,0.00,0.00,1.12,63,3,0,3.2,30.6,2025-10-03T19:00:00Z,90,False,4,0,0,0,5,0,7,0,498275,1,1,1,3,0.0,3,-1927,30403,32330,45,False,0
Ben Davies,DEF,Spurs,0.5,0,0,0,0,0,0.0,0,571,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,9834,0,0,,,0.0,0,-497,158,655,43,False,0
Antonín Kinský,GK,Spurs,0.5,0,0,0,0,0,0.0,0,567,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,210961,0,0,,,0.0,0,21904,31839,9935,39,False,0
Ryan Yates,MID,Nott'm Forest,-0.3,0,0,0,0,0,0.0,0,522,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,10247,0,0,,,0.0,0,-392,424,816,48,False,0
Zian Flemming,FWD,Burnley,-0.3,0,0,0,0,0,0.0,0,215,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,12863,0,0,,,0.0,0,-532,560,1092,53,False,0
Matt O'Riley,MID,Brighton,0.0,0,0,0,0,0,0.0,0,164,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,57585,0,0,,,0.0,0,-5969,0,5969,55,False,0
Emil Krafth,DEF,Newcastle,0.5,0,0,0,0,0,0.0,0,479,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,5469,0,0,,,0.0,0,-127,102,229,44,True,0
Lewis O'Brien,MID,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,520,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,116,0,0,,,0.0,0,-3,0,3,50,False,0
Michael Obafemi,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,219,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,22350,0,0,,,0.0,0,-1997,0,1997,44,False,0
Cheick Doucouré,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,268,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,342,0,0,,,0.0,0,-42,16,58,49,False,0
Chris Wood,FWD,Nott'm Forest,0.7,0,0,0,0,0,0.0,0,525,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,1602878,0,0,,,0.0,0,-528915,13690,542605,74,False,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,10,0,0,0,0,0,7,0,11507,0,0,1,3,0.0,0,-1008,0,1008,45,True,0
Romain Esse,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,269,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,18792,0,0,,,0.0,0,-629,745,1374,48,False,0
Callum Hudson-Odoi,MID,Nott'm Forest,0.3,0,0,0,0,0,0.0,0,516,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,136885,0,0,,,0.0,0,-28594,2700,31294,60,False,0
Filip Jörgensen,GK,Chelsea,-0.3,0,0,0,0,0,0.0,0,221,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,23633,0,0,,,0.0,0,-2138,438,2576,44,True,0
Igor Jesus Maciel da Cruz,FWD,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,526,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,89071,0,0,,,0.0,0,-5929,9980,15909,58,False,0
Kenny Tete,DEF,Fulham,0.0,0,0,0,0,0,0.0,0,322,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,20765,0,0,1,3,0.0,0,-4564,225,4789,45,False,0
Evan Ferguson,FWD,Brighton,0.0,0,0,0,0,0,0.0,0,179,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,1064,0,0,,,0.0,0,-38,0,38,55,False,0
Jamie Bynoe-Gittens,MID,Chelsea,-0.3,0,0,0,0,0,0.0,0,239,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,14261,0,0,,,0.0,0,-954,463,1417,62,True,0
Kiernan Dewsbury-Hall,MID,Everton,0.0,0,0,0,0,0,0.0,0,242,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,466926,0,0,,,0.0,0,-116679,9983,126662,50,True,0
Caoimhín Kelleher,GK,Brentford,2.3,0,0,0,0,0,0.0,0,101,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,976642,0,0,,,0.0,0,-23330,24395,47725,45,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,486,0,0,,,0.0,0,-13,0,13,50,False,0
Omar Richards,DEF,Nott'm Forest,0.0,0,0,0,0,0,0.0,0,512,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,3082,0,0,,,0.0,0,-180,0,180,45,False,0
Justin Kluivert,MID,Bournemouth,2.8,0,2,32,0,0,13.5,5,81,0.01,0.03,0.02,0.63,63,1,1,6.4,39.6,2025-10-03T19:00:00Z,29,False,10,0,0,0,3,0,7,0,93566,0,2,1,3,11.0,8,236,9367,9131,70,True,0
Ármin Pécsi,GK,Liverpool,0.5,0,0,0,0,0,0.0,0,368,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,7,0,0,0,0,0,7,0,47422,0,0,,,0.0,0,4432,7301,2869,39,False,0
Joe Rodon,DEF,Leeds,2.7,0,0,0,0,0,0.0,0,348,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,632370,0,0,,,0.0,0,80470,103035,22565,40,True,0
Bernd Leno,GK,Fulham,3.0,0,0,4,0,2,0.0,0,314,0.00,0.00,0.00,1.12,63,3,0,2.3,22.6,2025-10-03T19:00:00Z,90,False,4,0,0,0,5,0,7,3,180865,1,0,1,3,0.0,2,-6981,2660,9641,50,False,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,8,0,0,0,0,0,7,0,9055,0,0,,,0.0,0,52,668,616,45,True,0
Rob Holding,DEF,Crystal Palace,0.0,0,0,0,0,0,0.0,0,264,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,2802,0,0,,,0.0,0,-124,0,124,40,False,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0,0.0,0,176,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,3610,0,0,,,0.0,0,-425,0,425,45,False,0
Tom Watson,MID,Brighton,0.0,0,0,0,0,0,0.0,0,172,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,20,0,0,0,0,0,7,0,3437,0,0,,,0.0,0,-87,90,177,49,False,0
Pierre Ekwah Elimby,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,556,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,14,0,0,0,0,0,7,0,930,0,0,,,0.0,0,-60,0,60,45,False,0
Alexander Isak,FWD,Liverpool,1.3,0,0,0,0,0,0.0,0,499,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,7,0,0,0,0,0,7,0,1331565,0,0,,,0.0,0,-155998,89582,245580,106,False,0
Nathan Fraser,FWD,Wolves,0.0,0,0,0,0,0,0.0,0,658,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,268760,0,0,,,0.0,0,-10598,9647,20245,44,True,0
Paris Maghoma,MID,Brentford,0.0,0,0,0,0,0,0.0,0,132,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,1536,0,0,,,0.0,0,-115,20,135,45,True,0
Sepp van den Berg,DEF,Brentford,0.5,0,0,0,0,0,0.0,0,113,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,75900,0,0,,,0.0,0,-5459,1459,6918,45,True,0
André Onana,GK,Man Utd,0.0,0,0,0,0,0,0.0,0,432,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,22132,0,0,,,0.0,0,-1067,0,1067,49,True,0
Guglielmo Vicario,GK,Spurs,3.3,0,0,0,0,0,0.0,0,565,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,1481098,0,0,,,0.0,0,-8411,61842,70253,51,False,0
Harry Maguire,DEF,Man Utd,3.7,0,0,0,0,0,0.0,0,442,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,88407,0,0,,,0.0,0,-967,5407,6374,44,True,0
Jayce Fitzgerald,MID,Man Utd,0.5,0,0,0,0,0,0.0,0,461,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,17,0,0,0,0,0,7,0,4696,0,0,,,0.0,0,-13,239,252,44,True,0
Moisés Caicedo Corozo,MID,Chelsea,4.0,0,0,0,0,0,0.0,0,241,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,1405013,0,0,,,0.0,0,-44282,78549,122831,57,True,0
