name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
José Malheiro de Sá,GK,Wolves,0.2,0,0,0,0,0,0.0,0,628,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,169368,0,0,,,0.0,0,-9791,1307,11098,44,True,0
Rúben dos Santos Gato Alves Dias,DEF,Man City,3.0,0,0,0,0,0,0.0,0,408,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,514408,0,0,,,0.0,0,-7722,19131,26853,55,False,0
Bradley Burrowes,MID,Aston Villa,0.5,0,0,0,0,0,0.0,0,702,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,9179,0,0,,,0.0,0,-120,392,512,45,True,0
Jair Paula da Cunha Filho,DEF,Nott'm Forest,-0.5,0,0,0,0,0,0.0,0,510,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,15,0,0,0,0,0,7,0,7140,0,0,,,0.0,0,-326,80,406,44,False,0
Hjalmar Ekdal,DEF,Burnley,1.0,0,0,0,0,0,0.0,0,190,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,178765,0,0,,,0.0,0,-6352,5376,11728,40,False,0
Marcus Bettinelli,GK,Man City,0.5,0,0,0,0,0,0.0,0,401,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,5,0,0,0,0,0,7,0,14592,0,0,,,0.0,0,-462,132,594,40,False,0
Max Weiß,GK,Burnley,-0.5,0,0,0,0,0,0.0,0,183,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,2,0,0,0,0,0,7,0,15452,0,0,,,0.0,0,-619,189,808,44,False,0
Michael Kayode,DEF,Brentford,0.7,0,0,0,0,0,0.0,0,110,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,41034,0,0,,,0.0,0,-2188,1567,3755,45,True,0
Piero Hincapié,DEF,Arsenal,0.0,0,0,0,0,0,0.0,0,725,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,2946,0,0,,,0.0,0,-714,29,743,54,True,0
Dário Luís Essugo,MID,Chelsea,0.0,0,0,0,0,0,0.0,0,247,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,12,0,0,0,0,0,7,0,5054,0,0,,,0.0,0,-256,128,384,44,True,0
