id,xP
1,2.5
2,0.0
3,0.0
4,0.0
5,3.2
6,0.8
7,2.2
8,2.8
9,0.0
10,0.2
11,0.0
13,0.0
14,0.0
15,0.0
16,0.2
17,0.4
18,0.0
19,2.8
20,1.5
21,2.0
22,1.8
23,0.0
24,0.0
25,1.0
26,4.8
28,0.0
29,0.0
30,0.0
31,0.0
266,2.8
662,2.5
666,2.2
700,0.2
711,0.0
725,0.0
32,1.7
33,0.0
34,0.0
35,0.0
36,3.8
37,1.8
38,2.2
39,0.2
40,3.5
41,0.2
42,0.0
43,0.0
44,2.8
45,0.0
46,0.0
47,1.8
48,0.0
49,0.0
50,1.0
51,0.0
53,1.0
54,1.8
55,0.0
56,0.0
57,0.0
58,1.5
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.5
65,0.0
389,0.5
456,0.2
677,1.2
688,0.0
701,0.0
702,0.2
703,0.0
710,0.0
719,0.3
183,-1.0
184,0.0
185,-1.0
186,0.0
187,-0.2
188,-1.0
189,0.0
190,1.2
191,0.8
192,1.5
193,-1.0
194,-0.2
195,-1.0
196,0.0
197,-0.8
198,-1.0
199,-0.5
200,5.2
201,0.0
202,0.4
203,-1.0
204,0.0
205,2.2
206,-1.0
207,0.2
208,0.0
209,0.5
210,1.5
211,0.0
212,0.0
213,-1.0
214,-1.0
215,-0.8
216,0.0
217,3.0
218,-1.0
219,0.0
470,1.5
676,-0.5
680,-0.5
722,1.7
66,0.0
67,4.5
68,0.5
69,0.5
70,0.0
71,0.0
72,8.7
73,0.0
74,5.7
75,0.5
76,0.5
77,2.5
78,0.5
79,0.0
80,0.7
81,1.5
82,7.3
84,2.7
85,3.0
86,2.7
87,2.0
88,0.3
89,0.0
90,4.5
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,4.7
98,0.0
99,0.0
100,2.3
391,0.7
685,4.0
687,0.5
697,1.5
713,0.5
721,1.8
27,0.0
83,1.5
101,3.0
102,0.0
103,0.0
104,0.0
105,0.0
106,1.8
107,2.2
108,1.2
109,0.5
110,1.5
111,0.0
112,0.0
113,1.8
114,0.0
115,0.0
116,0.8
117,0.0
118,0.0
120,3.2
121,3.0
122,0.0
123,2.2
124,4.2
125,0.5
126,2.0
127,0.0
128,1.2
129,3.5
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
136,5.5
137,0.0
138,-0.5
139,1.3
140,-0.5
141,0.0
142,0.0
143,-0.5
144,0.0
145,2.3
146,2.3
147,0.0
148,1.3
150,0.0
151,1.5
152,1.3
153,0.0
154,0.0
155,0.0
156,-0.5
157,3.5
158,1.7
159,0.0
160,5.5
161,0.0
162,3.3
163,0.0
164,0.0
165,0.0
